,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_group,neighbourhood,room_type,reviews_per_month,is_zero,price
205,-0.44901776585810765,3.525766997352577,-0.615766718116943,0.8960692180305079,3,20,1,1,0,-0.9362527215542392
206,-0.48985578502160404,4.163421711866798,-0.4327991422287295,1.0399269504348094,0,16,2,1,0,-1.7948952880831468
207,-0.48985578502160404,2.2504575683241343,-0.4327991422287295,-1.1042382992102544,0,16,2,1,0,-1.7948952880831468
208,-0.12231361255013629,-0.367282838628985,-0.6005194201262585,-0.809672466191923,3,7,1,1,0,-0.3786165309194425
209,-0.44901776585810765,0.16968955254088564,-0.615766718116943,-1.4193552368577718,0,21,0,1,1,0.7423880105849856
210,-0.44901776585810765,0.9415873648475745,-0.615766718116943,-1.2480960316145557,0,3,0,1,0,0.3453183857955281
211,-0.24482767004062556,-0.4344043875252188,-0.615766718116943,-1.4193552368577718,0,13,0,0,1,0.5679568469210071
212,-0.48985578502160404,6.009264306513228,-0.4327991422287295,-1.1042382992102544,0,16,2,1,0,-1.7948952880831468
213,-0.48985578502160404,5.505852689791475,-0.4327991422287295,-1.1042382992102544,0,16,2,1,0,-1.7948952880831468
214,3.1447279205295775,-0.40084361307710187,1.0766833588490312,1.0536276868542667,0,16,1,1,0,-0.8656942980000635
215,-0.3673417275311148,0.9080265903994577,0.39055494926823087,-0.5014058967541343,0,6,0,1,0,-0.3329782631610121
216,-0.48985578502160404,0.16968955254088564,-0.4327991422287295,1.0810291596931811,0,16,2,1,0,-1.7948952880831468
217,-0.44901776585810765,1.176512785984393,-0.4327991422287295,-0.26849337762336056,0,16,1,1,0,0.2574476057161683
218,0.6944467707197922,1.545681304913679,0.39055494926823087,-0.8302235708211089,0,6,0,1,0,-0.3942140775907644
219,-0.44901776585810765,6.9489659910605015,0.10085628744522628,0.36174049767167415,0,18,0,1,0,0.3453183857955281
220,-0.44901776585810765,-0.3337220641808681,-0.615766718116943,-1.4193552368577718,4,4,1,1,1,-1.2966096828489873
221,-0.48985578502160404,0.40461497367770405,0.39055494926823087,-0.8439243072405662,0,6,0,1,0,-0.2746580236687983
222,-0.48985578502160404,0.23681110143711945,-0.5242829301728362,0.17678055600900092,0,19,1,1,0,-0.9122969881431131
223,-0.48985578502160404,-0.23303974083651732,-0.5242829301728362,0.17678055600900092,0,19,1,1,0,-0.31813539438102595
224,-0.48985578502160404,1.6799244027061466,0.10085628744522628,0.8892188498207793,0,18,0,1,0,0.2297470860873368
225,-0.44901776585810765,-0.4344043875252188,-0.615766718116943,-1.4193552368577718,4,9,1,0,1,-1.1177742730289981
226,3.1447279205295775,0.43817574812582094,-0.585272122135574,-0.8028220979821944,0,3,1,1,0,0.3453183857955281
227,-0.4081797466946112,1.6128028538099128,-0.585272122135574,-1.1727419813075408,0,23,0,1,0,0.9142120937214274
228,-0.48985578502160404,2.183336019427901,0.39055494926823087,-1.3508515547604854,0,6,0,1,0,-0.31813539438102595
229,-0.48985578502160404,1.6128028538099128,0.39055494926823087,-0.8918768847086667,0,6,0,1,0,-0.26050298270732836
230,0.6127707323927992,2.0826536960835496,-0.615766718116943,-0.30274521867200377,0,6,0,1,0,0.6996722733840626
231,-0.04063757422314345,1.3443166582249775,-0.615766718116943,-0.47400442391521974,4,25,0,1,0,0.4111371455291639
